EACODE;source;value
10101009;WPDx;2
10101018;WPDx;4
10101023;WPDx;2
10101031;Madzi Alipo;1
10101031;WPDx;1
10101038;Madzi Alipo;1
10102004;OSM;1
10102018;OSM;1
10103001;Madzi Alipo;2
10103001;WPDx;3
10103002;Madzi Alipo;2
10103003;Madzi Alipo;3
10103003;WPDx;1
10103004;Madzi Alipo;2
10103004;WPDx;1
10103005;Madzi Alipo;2
10103006;Madzi Alipo;1
10103012;WPDx;2
10103014;Madzi Alipo;1
10103014;WPDx;1
10104006;Madzi Alipo;1
10104006;WPDx;1
10104007;Madzi Alipo;4
10104007;WPDx;4
10104012;WPDx;2
10104013;Madzi Alipo;2
10104013;WPDx;2
10104014;Madzi Alipo;1
10104014;WPDx;1
10104015;Madzi Alipo;2
10104015;WPDx;4
10104016;Madzi Alipo;2
10104016;WPDx;2
10104017;Madzi Alipo;3
10104017;WPDx;3
10104801;Madzi Alipo;5
10104801;WPDx;5
10105010;WPDx;2
10120701;WPDx;2
10201001;DoIWD;4
10201002;DoIWD;13
10201003;DoIWD;6
10201003;OSM;2
10201004;DoIWD;6
10201005;DoIWD;12
10201006;DoIWD;10
10201006;OSM;2
10201007;DoIWD;13
10201008;DoIWD;15
10201009;DoIWD;7
10201010;DoIWD;3
10201011;DoIWD;20
10201012;DoIWD;4
10201014;DoIWD;15
10201015;DoIWD;1
10201016;DoIWD;26
10201017;DoIWD;19
10201018;DoIWD;40
10201019;DoIWD;33
10201020;DoIWD;19
10201021;DoIWD;18
10201022;DoIWD;32
10201023;DoIWD;26
10201024;DoIWD;48
10201025;DoIWD;34
10201025;WPDx;4
10201026;DoIWD;7
10201027;DoIWD;14
10201028;DoIWD;28
10201029;DoIWD;32
10201030;DoIWD;17
10201031;DoIWD;45
10201032;DoIWD;29
10201032;OSM;3
10201033;DoIWD;22
10201034;DoIWD;14
10201035;DoIWD;20
10201036;DoIWD;26
10201036;WPDx;2
10201801;DoIWD;13
10201802;DoIWD;39
10201802;WPDx;2
10202001;DoIWD;5
10202002;DoIWD;3
10202003;DoIWD;3
10202004;DoIWD;4
10202005;DoIWD;4
10202006;DoIWD;9
10202007;DoIWD;8
10202008;DoIWD;10
10202009;DoIWD;14
10202010;DoIWD;10
10202011;DoIWD;11
10202012;DoIWD;13
10202013;DoIWD;16
10202801;DoIWD;10
10203002;DoIWD;6
10203004;DoIWD;4
10203005;DoIWD;41
10203006;DoIWD;32
10203007;DoIWD;35
10203008;DoIWD;30
10203009;DoIWD;18
10203010;DoIWD;23
10203011;DoIWD;8
10203012;DoIWD;31
10203013;DoIWD;13
10203014;DoIWD;34
10203015;DoIWD;15
10203016;DoIWD;6
10203017;DoIWD;3
10203018;DoIWD;9
10203018;Madzi Alipo;5
10203018;WPDx;5
10203019;DoIWD;2
10203020;DoIWD;3
10203022;DoIWD;20
10203023;DoIWD;16
10203023;Madzi Alipo;4
10203023;WPDx;4
10203024;DoIWD;13
10203024;Madzi Alipo;1
10203024;WPDx;1
10203025;DoIWD;29
10203025;Madzi Alipo;1
10203025;WPDx;1
10203026;DoIWD;25
10203026;Madzi Alipo;1
10203026;WPDx;1
10203027;DoIWD;22
10203028;DoIWD;9
10203029;DoIWD;19
10203029;Madzi Alipo;3
10203029;WPDx;3
10203030;DoIWD;5
10203030;Madzi Alipo;1
10203030;WPDx;1
10203031;DoIWD;7
10203032;DoIWD;16
10203032;Madzi Alipo;2
10203032;WPDx;2
10203033;DoIWD;12
10203033;Madzi Alipo;2
10203033;WPDx;2
10203034;DoIWD;8
10203034;Madzi Alipo;1
10203034;WPDx;1
10203035;DoIWD;2
10203036;DoIWD;18
10203037;DoIWD;2
10203039;DoIWD;3
10203040;DoIWD;10
10203041;DoIWD;10
10203042;DoIWD;8
10203043;DoIWD;14
10203044;DoIWD;13
10203801;DoIWD;5
10203904;DoIWD;1
10204001;DoIWD;14
10204002;DoIWD;19
10204002;Madzi Alipo;1
10204002;WPDx;1
10204003;DoIWD;8
10204004;DoIWD;18
10204005;DoIWD;12
10204006;DoIWD;60
10204007;DoIWD;10
10204008;DoIWD;11
10204009;DoIWD;48
10204010;DoIWD;33
10204011;DoIWD;37
10204012;DoIWD;11
10204013;DoIWD;2
10204014;DoIWD;78
10204015;DoIWD;63
10204016;DoIWD;47
10204017;DoIWD;14
10204017;Madzi Alipo;1
10204017;WPDx;1
10204018;DoIWD;39
10204019;DoIWD;6
10204020;DoIWD;13
10204021;DoIWD;4
10204022;DoIWD;5
10204022;Madzi Alipo;1
10204022;WPDx;1
10204801;DoIWD;19
10204802;DoIWD;11
10204803;DoIWD;1
10204805;DoIWD;2
10204806;DoIWD;16
10204901;DoIWD;3
10205001;DoIWD;2
10205002;DoIWD;5
10205003;DoIWD;9
10205004;DoIWD;33
10205004;Madzi Alipo;1
10205004;WPDx;1
10205005;DoIWD;14
10205006;DoIWD;7
10205007;DoIWD;14
10205008;DoIWD;27
10205009;DoIWD;19
10205010;DoIWD;20
10205011;DoIWD;7
10205012;DoIWD;10
10205013;DoIWD;9
10205014;DoIWD;8
10205801;DoIWD;7
10205801;Madzi Alipo;1
10205801;WPDx;1
10205901;DoIWD;3
10220701;DoIWD;1
10220702;DoIWD;4
